,num_words,use_tfidf,model,accuracy,precision,recall,f1,auc
0,10,True,log,0.49022556243134474,0.7018502791381173,0.09437623747499783,0.16635070538665972,0.6176516124448959
1,10,True,tree100,0.51018008771247,0.5459998578359103,0.5417554518972674,0.5438649927757347,0.4916605706293291
2,20,True,log,0.5016581779519275,0.6930136945822165,0.10329457364341084,0.17978318082492356,0.6293364125993136
3,20,True,tree100,0.5119426641370213,0.5365284701231287,0.5653629316420015,0.5505573525075029,0.4805123929320852
4,30,True,log,0.5043502282700527,0.6968479952374464,0.10699555614480047,0.18549302065539797,0.6266650237157236
5,30,True,tree100,0.5150698089209704,0.5381754256856027,0.5690775133541163,0.5531900053983826,0.48139585642457594
6,40,True,log,0.507267690405435,0.6919026284785283,0.11577748198744346,0.19835404299696924,0.6318833575608098
7,40,True,tree100,0.5205430757422935,0.5419161334395663,0.5780201900579423,0.5593834043945841,0.48770397675765553
8,50,True,log,0.5109520997588641,0.7007204744897931,0.12611774598702177,0.21373524589844456,0.6359263979303251
9,50,True,tree100,0.5222129775200015,0.5439268462115106,0.5790046506729521,0.5609142027494867,0.49221557202772437
10,60,True,log,0.5096912372141065,0.7027210276988128,0.12527565733672605,0.21263290557493636,0.6367492359880895
11,60,True,tree100,0.5256311431723564,0.5479525141991938,0.5849363867684478,0.5658318989422796,0.4911036280551714
12,70,True,log,0.5091780112495108,0.6981890428969023,0.1260235186213037,0.21348471292757493,0.6423612221509976
13,70,True,tree100,0.5265989208357735,0.5489461673120335,0.5858915112238933,0.5668136532736494,0.48950285261799836
14,80,True,log,0.5112952755244329,0.700401888963927,0.13141010950110374,0.22128658859872127,0.6436312973474426
15,80,True,tree100,0.5271798542977414,0.5495605630103295,0.5836544350160616,0.5660941035574245,0.49318878133585675
16,90,True,log,0.5143737508831085,0.7049603620489013,0.13930031402575765,0.2326155597081417,0.6487297354811234
17,90,True,tree100,0.5304606889582265,0.5528370178230547,0.5829703996697587,0.5674999089567468,0.4975257465486912
18,100,True,log,0.5115595438640319,0.6984034837120141,0.13283781526641056,0.22319227954446882,0.6507003899509409
19,100,True,tree100,0.5318285722928472,0.5536508448749101,0.5871722064473025,0.569917284977737,0.49664146834152806
20,110,True,log,0.5153475533967161,0.709765416097065,0.15041221709025723,0.24820239158992935,0.6499847579247585
21,110,True,tree100,0.5340906272586513,0.5586969928228137,0.5908325021118627,0.5743053412569127,0.4947530317625819
